BookingID,hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,no_of_weekend_nights,no_of_week_nights,no_of_adults,no_of_children,babies,type_of_meal_plan,country,market_segment_type,distribution_channel,room_type_reserved,assigned_room_type,booking_changes,deposit_type,agent,customer_type,avg_price_per_room,required_car_parking_space,no_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,arrival_date,"Total Guests",empID
1,"Resort Hotel",0,342,2015,7,27,1,0,0,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,C,C,3,"No Deposit",0,Transient,0,0,0,Check-Out,2015-01-07,"Ernest Barnes",Ernest.Barnes31@outlook.com,669-792-1661,************4322,2015-07-01,2,1
2,"Resort Hotel",0,737,2015,7,27,1,0,0,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,C,C,4,"No Deposit",0,Transient,0,0,0,Check-Out,2015-01-07,"Andrea Baker",Andrea_Baker94@aol.com,858-637-6955,************9157,2015-07-01,2,2
3,"Resort Hotel",0,7,2015,7,27,1,0,1,1,0,0,"Bed and Breakfass",GBR,Direct,Direct,A,C,0,"No Deposit",0,Transient,75,0,0,Check-Out,2015-02-07,"Rebecca Parker",Rebecca_Parker@comcast.net,652-885-2745,************3734,2015-07-01,1,3
4,"Resort Hotel",0,13,2015,7,27,1,0,1,1,0,0,"Bed and Breakfass",GBR,Corporate,Corporate,A,A,0,"No Deposit",304,Transient,75,0,0,Check-Out,2015-02-07,"Laura Murray",Laura_M@gmail.com,364-656-8427,************5677,2015-07-01,1,4
5,"Resort Hotel",0,14,2015,7,27,1,0,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,98,0,1,Check-Out,2015-03-07,"Linda Hines",LHines@verizon.com,713-226-5883,************5498,2015-07-01,2,5
6,"Resort Hotel",0,14,2015,7,27,1,0,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,98,0,1,Check-Out,2015-03-07,"Jasmine Fletcher",JFletcher43@xfinity.com,190-271-6743,************9263,2015-07-01,2,6
7,"Resort Hotel",0,0,2015,7,27,1,0,2,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,C,C,0,"No Deposit",0,Transient,107,0,0,Check-Out,2015-03-07,"Dylan Rangel",Rangel.Dylan@comcast.net,420-332-5209,************6994,2015-07-01,2,7
8,"Resort Hotel",0,9,2015,7,27,1,0,2,2,0,0,"Full Board",PRT,Direct,Direct,C,C,0,"No Deposit",303,Transient,103,0,1,Check-Out,2015-03-07,"William Velez",Velez_William@mail.com,286-669-4333,************8729,2015-07-01,2,8
9,"Resort Hotel",1,85,2015,7,27,1,0,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,82,0,1,Canceled,2015-06-05,"Steven Murphy",Steven.Murphy54@aol.com,341-726-5787,************3639,2015-07-01,2,9
10,"Resort Hotel",1,75,2015,7,27,1,0,3,2,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",15,Transient,105.5,0,0,Canceled,2015-04-22,"Michael Moore",MichaelMoore81@outlook.com,316-648-6176,************9190,2015-07-01,2,10
